============================================================================
--------------------------------
Processing add.v.lemma
--------------------------------
	Number of test instances = 100
adding positional word information to wordstream
make: `hdp' is up to date.

Program starts with following parameters:
algorithm:          = train
data_path:          = topicmodel_output/hdpdata.train.txt
directory:          = topicmodel_output
max_iter            = 300
save_lag            = -1
init_topics         = 0
random_seed         = 1372179636
gamma_a             = 1.00
gamma_b             = 0.10
alpha_a             = 1.00
alpha_b             = 1.00
eta                 = 0.50
#restricted_scans   = 5
split-merge         = no
sampling hyperparam = no

reading data from topicmodel_output/hdpdata.train.txt
number of docs  : 299
number of terms : 73
number of total words : 1524
starting with 4 topics 
iter = 00085, #topics = 0008, #tables = 0587, gamma = 0.10000, alpha = 1.00000, likelihood = -6778.78859
iter = 00086, #topics = 0007, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6748.83650
iter = 00087, #topics = 0007, #tables = 0574, gamma = 0.10000, alpha = 1.00000, likelihood = -6723.60101
iter = 00088, #topics = 0007, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6732.71493
iter = 00089, #topics = 0007, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6767.03911
iter = 00090, #topics = 0007, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6814.16093
iter = 00091, #topics = 0007, #tables = 0598, gamma = 0.10000, alpha = 1.00000, likelihood = -6814.51507
iter = 00092, #topics = 0007, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6790.94402
iter = 00093, #topics = 0007, #tables = 0626, gamma = 0.10000, alpha = 1.00000, likelihood = -6824.97604
iter = 00094, #topics = 0007, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6676.75413
iter = 00095, #topics = 0008, #tables = 0580, gamma = 0.10000, alpha = 1.00000, likelihood = -6772.85468
iter = 00096, #topics = 0007, #tables = 0584, gamma = 0.10000, alpha = 1.00000, likelihood = -6749.57973
iter = 00097, #topics = 0007, #tables = 0579, gamma = 0.10000, alpha = 1.00000, likelihood = -6728.91212
iter = 00098, #topics = 0008, #tables = 0576, gamma = 0.10000, alpha = 1.00000, likelihood = -6857.31937
iter = 00099, #topics = 0008, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6763.95429
iter = 00100, #topics = 0008, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6812.99092
iter = 00101, #topics = 0007, #tables = 0575, gamma = 0.10000, alpha = 1.00000, likelihood = -6804.53292
iter = 00102, #topics = 0008, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6827.30339
iter = 00103, #topics = 0008, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6866.26167
iter = 00104, #topics = 0008, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6783.55775
iter = 00105, #topics = 0007, #tables = 0602, gamma = 0.10000, alpha = 1.00000, likelihood = -6754.42335
iter = 00106, #topics = 0007, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6782.35415
iter = 00107, #topics = 0007, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6711.15483
iter = 00108, #topics = 0007, #tables = 0562, gamma = 0.10000, alpha = 1.00000, likelihood = -6671.38121
iter = 00109, #topics = 0007, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6701.64869
iter = 00110, #topics = 0007, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6755.16280
iter = 00111, #topics = 0007, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6693.73234
iter = 00112, #topics = 0007, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6706.58646
iter = 00113, #topics = 0007, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6786.77554
iter = 00114, #topics = 0007, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6780.58888
iter = 00115, #topics = 0007, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6703.83539
iter = 00116, #topics = 0007, #tables = 0606, gamma = 0.10000, alpha = 1.00000, likelihood = -6669.87128
iter = 00117, #topics = 0007, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6640.80490
iter = 00118, #topics = 0007, #tables = 0603, gamma = 0.10000, alpha = 1.00000, likelihood = -6769.40883
iter = 00119, #topics = 0007, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6777.98556
iter = 00120, #topics = 0007, #tables = 0580, gamma = 0.10000, alpha = 1.00000, likelihood = -6751.10543
iter = 00121, #topics = 0007, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6725.89532
iter = 00122, #topics = 0008, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6790.10018
iter = 00123, #topics = 0009, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6827.54156
iter = 00124, #topics = 0009, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6798.72828
iter = 00125, #topics = 0009, #tables = 0602, gamma = 0.10000, alpha = 1.00000, likelihood = -6797.12863
iter = 00126, #topics = 0008, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6764.60259
iter = 00127, #topics = 0008, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6843.27484
iter = 00128, #topics = 0008, #tables = 0581, gamma = 0.10000, alpha = 1.00000, likelihood = -6834.18838
iter = 00129, #topics = 0008, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6834.82919
iter = 00130, #topics = 0008, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6820.32166
iter = 00131, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6746.29190
iter = 00132, #topics = 0008, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6755.77491
iter = 00133, #topics = 0008, #tables = 0606, gamma = 0.10000, alpha = 1.00000, likelihood = -6770.59882
iter = 00134, #topics = 0008, #tables = 0579, gamma = 0.10000, alpha = 1.00000, likelihood = -6754.77799
iter = 00135, #topics = 0008, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6781.54197
iter = 00136, #topics = 0008, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6840.69514
iter = 00137, #topics = 0009, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6773.60134
iter = 00138, #topics = 0009, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6732.31636
iter = 00139, #topics = 0008, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6727.03929
iter = 00140, #topics = 0008, #tables = 0584, gamma = 0.10000, alpha = 1.00000, likelihood = -6778.04509
iter = 00141, #topics = 0007, #tables = 0595, gamma = 0.10000, alpha = 1.00000, likelihood = -6813.08964
iter = 00142, #topics = 0007, #tables = 0574, gamma = 0.10000, alpha = 1.00000, likelihood = -6826.16790
iter = 00143, #topics = 0007, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6848.27378
iter = 00144, #topics = 0007, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6820.06825
iter = 00145, #topics = 0007, #tables = 0555, gamma = 0.10000, alpha = 1.00000, likelihood = -6814.20965
iter = 00146, #topics = 0007, #tables = 0610, gamma = 0.10000, alpha = 1.00000, likelihood = -6949.39325
iter = 00147, #topics = 0007, #tables = 0581, gamma = 0.10000, alpha = 1.00000, likelihood = -6859.81775
iter = 00148, #topics = 0008, #tables = 0573, gamma = 0.10000, alpha = 1.00000, likelihood = -6826.65984
iter = 00149, #topics = 0008, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6745.51186
iter = 00150, #topics = 0009, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6804.61207
iter = 00151, #topics = 0008, #tables = 0560, gamma = 0.10000, alpha = 1.00000, likelihood = -6796.71317
iter = 00152, #topics = 0008, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6883.32011
iter = 00153, #topics = 0008, #tables = 0613, gamma = 0.10000, alpha = 1.00000, likelihood = -6951.66471
iter = 00154, #topics = 0008, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6936.78546
iter = 00155, #topics = 0008, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6874.42044
iter = 00156, #topics = 0008, #tables = 0604, gamma = 0.10000, alpha = 1.00000, likelihood = -6826.90198
